year,weekly_salary,race,age,annual_salary
2000,366,white,16_24_years,19032
2001,380,white,16_24_years,19760
2002,386,white,16_24_years,20072
2003,390,white,16_24_years,20280
2004,393,white,16_24_years,20436
2005,403,white,16_24_years,20956
2006,411,white,16_24_years,21372
2007,429,white,16_24_years,22308
2008,451,white,16_24_years,23452
2009,447,white,16_24_years,23244
2010,439,white,16_24_years,22828
2011,447,white,16_24_years,23244
2012,456,white,16_24_years,23712
2013,470,white,16_24_years,24440
2014,486,white,16_24_years,25272
2015,497,white,16_24_years,25844
2016,509,white,16_24_years,26468
2017,526,white,16_24_years,27352
2018,566,white,16_24_years,29432
2019,590,white,16_24_years,30680
2000,624,white,25_54_years,32448
2001,654,white,25_54_years,34008
2002,668,white,25_54_years,34736
2003,680,white,25_54_years,35360
2004,701,white,25_54_years,36452
2005,715,white,25_54_years,37180
2006,732,white,25_54_years,38064
2007,752,white,25_54_years,39104
2008,775,white,25_54_years,40300
2009,789,white,25_54_years,41028
2010,795,white,25_54_years,41340
2011,809,white,25_54_years,42068
2012,826,white,25_54_years,42952
2013,835,white,25_54_years,43420
2014,849,white,25_54_years,44148
2015,868,white,25_54_years,45136
2016,896,white,25_54_years,46592
2017,919,white,25_54_years,47788
2018,946,white,25_54_years,49192
2019,982,white,25_54_years,51064
2000,619,white,55+,32188
2001,637,white,55+,33124
2002,675,white,55+,35100
2003,702,white,55+,36504
2004,723,white,55+,37596
2005,743,white,55+,38636
2006,762,white,55+,39624
2007,801,white,55+,41652
2008,826,white,55+,42952
2009,842,white,55+,43784
2010,865,white,55+,44980
2011,890,white,55+,46280
2012,906,white,55+,47112
2013,920,white,55+,47840
2014,926,white,55+,48152
2015,951,white,55+,49452
2016,973,white,55+,50596
2017,995,white,55+,51740
2018,1025,white,55+,53300
2019,1041,white,55+,54132
2000,329,black,16_24_years,17108
2001,338,black,16_24_years,17576
2002,342,black,16_24_years,17784
2003,367,black,16_24_years,19084
2004,360,black,16_24_years,18720
2005,346,black,16_24_years,17992
2006,383,black,16_24_years,19916
2007,397,black,16_24_years,20644
2008,398,black,16_24_years,20696
2009,409,black,16_24_years,21268
2010,404,black,16_24_years,21008
2011,404,black,16_24_years,21008
2012,387,black,16_24_years,20124
2013,391,black,16_24_years,20332
2014,412,black,16_24_years,21424
2015,416,black,16_24_years,21632
2016,423,black,16_24_years,21996
2017,468,black,16_24_years,24336
2018,483,black,16_24_years,25116
2019,508,black,16_24_years,26416
2000,497,black,25_54_years,25844
2001,513,black,25_54_years,26676
2002,517,black,25_54_years,26884
2003,537,black,25_54_years,27924
2004,558,black,25_54_years,29016
2005,556,black,25_54_years,28912
2006,584,black,25_54_years,30368
2007,595,black,25_54_years,30940
2008,611,black,25_54_years,31772
2009,616,black,25_54_years,32032
2010,634,black,25_54_years,32968
2011,638,black,25_54_years,33176
2012,650,black,25_54_years,33800
2013,652,black,25_54_years,33904
2014,656,black,25_54_years,34112
2015,670,black,25_54_years,34840
2016,705,black,25_54_years,36660
2017,703,black,25_54_years,36556
2018,720,black,25_54_years,37440
2019,767,black,25_54_years,39884
2000,502,black,55+,26104
2001,518,black,55+,26936
2002,529,black,55+,27508
2003,580,black,55+,30160
2004,580,black,55+,30160
2005,575,black,55+,29900
2006,594,black,55+,30888
2007,602,black,55+,31304
2008,615,black,55+,31980
2009,662,black,55+,34424
2010,657,black,55+,34164
2011,666,black,55+,34632
2012,701,black,55+,36452
2013,718,black,55+,37336
2014,756,black,55+,39312
2015,728,black,55+,37856
2016,749,black,55+,38948
2017,752,black,55+,39104
2018,760,black,55+,39520
2019,777,black,55+,40404
2000,392,asian,16_24_years,20384
2001,448,asian,16_24_years,23296
