year,weekly_earnings,race,age,yearly_earnings,,,
2000,624,white,25_54_years,32448,,,
2001,654,white,25_54_years,34008,,,
2002,668,white,25_54_years,34736,,,
2003,680,white,25_54_years,35360,,,
2004,701,white,25_54_years,36452,,,
2005,715,white,25_54_years,37180,,,
2006,732,white,25_54_years,38064,,,
2007,752,white,25_54_years,39104,,,
2008,775,white,25_54_years,40300,,,
2009,789,white,25_54_years,41028,,,
2010,795,white,25_54_years,41340,,,
2011,809,white,25_54_years,42068,,,
2012,826,white,25_54_years,42952,,,
2013,835,white,25_54_years,43420,,,
2014,849,white,25_54_years,44148,,,
2015,868,white,25_54_years,45136,,,
2016,896,white,25_54_years,46592,,,
2017,919,white,25_54_years,47788,,,
2018,946,white,25_54_years,49192,,,
2019,982,white,25_54_years,51064,,,
2000,497,black,25_54_years,25844,,,
2001,513,black,25_54_years,26676,,,
2002,517,black,25_54_years,26884,,,
2003,537,black,25_54_years,27924,,,
2004,558,black,25_54_years,29016,,,
2005,556,black,25_54_years,28912,,,
2006,584,black,25_54_years,30368,,,
2007,595,black,25_54_years,30940,,,
2008,611,black,25_54_years,31772,,,
2009,616,black,25_54_years,32032,,,
2010,634,black,25_54_years,32968,,,
2011,638,black,25_54_years,33176,,,
2012,650,black,25_54_years,33800,,,
2013,652,black,25_54_years,33904,,,
2014,656,black,25_54_years,34112,,,
2015,670,black,25_54_years,34840,,,
2016,705,black,25_54_years,36660,,,
2017,703,black,25_54_years,36556,,,
2018,720,black,25_54_years,37440,,,
2019,767,black,25_54_years,39884,,,
2000,652,asian,25_54_years,33904,,,
2001,685,asian,25_54_years,35620,,,
2002,708,asian,25_54_years,36816,,,
2003,729,asian,25_54_years,37908,,,
2004,751,asian,25_54_years,39052,,,
2005,791,asian,25_54_years,41132,,,
2006,843,asian,25_54_years,43836,,,
2007,880,asian,25_54_years,45760,,,
2008,922,asian,25_54_years,47944,,,
2009,927,asian,25_54_years,48204,,,
2010,905,asian,25_54_years,47060,,,
2011,926,asian,25_54_years,48152,,,
2012,982,asian,25_54_years,51064,,,
2013,1012,asian,25_54_years,52624,,,
2014,1023,asian,25_54_years,53196,,,
2015,1066,asian,25_54_years,55432,,,
2016,1116,asian,25_54_years,58032,,,
2017,1131,asian,25_54_years,58812,,,
2018,1173,asian,25_54_years,60996,,,
2019,1285,asian,25_54_years,66820,,,
2000,424,hispanic,25_54_years,22048,,,
2001,451,hispanic,25_54_years,23452,,,
2002,460,hispanic,25_54_years,23920,,,
2003,470,hispanic,25_54_years,24440,,,
2004,484,hispanic,25_54_years,25168,,,
2005,495,hispanic,25_54_years,25740,,,
2006,507,hispanic,25_54_years,26364,,,
2007,524,hispanic,25_54_years,27248,,,
2008,567,hispanic,25_54_years,29484,,,
2009,576,hispanic,25_54_years,29952,,,
2010,569,hispanic,25_54_years,29588,,,
2011,580,hispanic,25_54_years,30160,,,
2012,594,hispanic,25_54_years,30888,,,
2013,601,hispanic,25_54_years,31252,,,
2014,618,hispanic,25_54_years,32136,,,
2015,628,hispanic,25_54_years,32656,,,
2016,659,hispanic,25_54_years,34268,,,
2017,684,hispanic,25_54_years,35568,,,
2018,707,hispanic,25_54_years,36764,,,
2019,734,hispanic,25_54_years,38168,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
