occ_title,white,black,asian,hispanic,annual_salary
Miscellaneous Personal Appearance Workers,30.7,7.7,59.2,11.6,31660
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",35.8,42.3,17.8,5.8,51190
Postal Service Clerks,47.4,35.8,13,6.7,50610
Reservation and Transportation Ticket Agents and Travel Clerks,51.4,27.9,9.1,13.5,44390
Computer Hardware Engineers,54.3,5.7,38.4,10.2,123030
Laundry and Dry-Cleaning Workers,55.9,25.1,12.2,37.9,25420
"Baggage Porters, Bellhops, and Concierges",58.1,26.2,12.4,30.6,31330
"Tax Examiners and Collectors, and Revenue Agents",58.8,25.8,12.8,12.1,60960
"Bailiffs, Correctional Officers, and Jailers",60.5,34.2,1.7,12.3,50210
"Hotel, Motel, and Resort Desk Clerks",60.7,21.6,7.4,22.3,25950
Barbers,61.8,31.1,4.5,29,35190
Chefs and Head Cooks,63,14.3,16.4,26,56310
Bill and Account Collectors,63.6,30.2,1.3,17.8,39300
Medical Scientists,64.1,7.3,27.8,8.8,97650
Healthcare Support Occupations,64.2,26.7,5.1,19.1,31010
Pharmacists,64.5,10.5,22,2.7,125510
"Electrical, Electronics, and Electromechanical Assemblers",64.5,8,20.2,20.1,37010
Budget Analysts,64.6,19.3,12.2,3.6,80300
Social and Human Service Assistants,65.2,25.5,4.3,16.4,37050
Computer and Mathematical Occupations,65.7,8.7,23.1,7.8,93760
Respiratory Therapists,66.2,23.2,8.9,8.6,63950
"Tailors, Dressmakers, and Sewers",66.3,9.5,23.7,20.9,33950
Railroad Conductors and Yardmasters,66.7,24,3.1,5.4,68350
Order Clerks,66.9,18.2,9.9,18.3,36600
Licensed Practical and Licensed Vocational Nurses,67,27,3.3,13.8,48500
Miscellaneous Assemblers and Fabricators,67,19.7,9.6,21.7,34800
Statistical Assistants,67.4,0,32.3,4.9,51640
"Mail Clerks and Mail Machine Operators, Except Postal Service",67.6,24,4.1,14.2,32620
Computer Systems Analysts,67.8,9.7,20.3,8.3,96160
Computer Programmers,67.8,8.5,21.8,8.7,92610
Miscellaneous Media and Communication Workers,67.8,14.6,11.2,35.3,57170
"Physical Scientists, All Other",68.3,3.4,25.7,7.1,112070
"Food Servers, Nonrestaurant",68.4,19.2,6.6,21.6,26080
Packaging and Filling Machine Operators and Tenders,68.8,20.4,6.3,37.3,33590
Automotive and Watercraft Service Attendants,68.9,12.1,13.7,14.5,26860
Industrial Truck and Tractor Operators,69,25.8,1.7,31.4,37930
Cashiers,69.2,17.9,7.3,24.1,24400
Cashiers,69.2,17.9,7.3,24.1,24400
"Packers and Packagers, Hand",69.2,19,7.7,41.5,27680
Sewing Machine Operators,69.3,11,15.3,35.4,28000
Personal Care and Service Occupations,69.4,16.1,10.1,18.2,31260
Statisticians,69.6,8.2,21.1,7.7,95680
Social Workers,69.6,23,3.7,14.3,54190
"Eligibility Interviewers, Government Programs",70.1,22.2,1.1,23,47110
Cooks,70.4,18.1,6.2,36.7,27550
"Computer Occupations, All Other",70.5,12.7,14.1,9.7,92410
Phlebotomists,70.5,24.6,2.9,14.9,36480
Probation Officers and Correctional Treatment Specialists,70.6,26.7,0.4,15.8,59910
Clinical Laboratory Technologists and Technicians,71.1,15.3,10,13,54780
"Graders and Sorters, Agricultural Products",71.2,21.3,3.6,49.9,27570
"Butchers and Other Meat, Poultry, and Fish Processing Workers",71.2,17.1,6.2,37.3,30920
Electrical and Electronics Engineers,71.3,7.3,19.9,8.7,106240
Insurance Claims and Policy Processing Clerks,71.3,21.8,2.4,15.5,43280
"Engineers, All Other",71.8,5.4,20.6,9.8,102460
"Metal Workers and Plastic Workers, All Other",72,14.5,8.2,26,37790
"Food Processing Workers, All Other",72.1,18.1,7,38.8,28820
Maids and Housekeeping Cleaners,72.2,17.4,4.1,49.2,26810
Transportation and Material Moving Occupations,72.2,20,4.1,22.9,37920
Supervisors of Transportation and Material Moving Workers,72.2,19.4,6.7,20.3,57850
Massage Therapists,72.3,8.8,13.1,11.1,47180
"Laborers and Freight, Stock, and Material Movers, Hand",72.4,19.8,2.7,23.1,32130
Private Detectives and Investigators,72.6,23.5,3,17.7,57000
Computer and Information Systems Managers,72.7,9.6,15.8,4.7,156390
Counselors,72.7,21.2,2.7,12.7,53120
Postal Service Mail Carriers,72.7,19.6,5.5,14.4,52180
"Miscellaneous Life, Physical, and Social Science Technicians",72.8,8.6,15,13.4,55610
Counter and Rental Clerks,72.8,18.3,6.6,15.8,32600
Community and Social Service Occupations,72.9,20.1,3.6,13,50480
"Interviewers, Except Eligibility and Loan",72.9,18.1,4.7,18.3,36390
Radio and Telecommunications Equipment Installers and Repairers,73.1,15.8,4.9,15,58510
Customer Service Representatives,73.3,17.7,5.3,19.6,37320
Couriers and Messengers,73.3,17.4,4.4,21.4,31640
Dishwashers,73.4,16.1,4.2,28.9,24410
Food Preparation Workers,73.5,13.2,8.3,28.1,25820
"Claims Adjusters, Appraisers, Examiners, and Investigators",73.6,19.5,4.4,9.5,68820
Food Preparation and Serving Related Occupations,73.7,13.9,6.9,27,26670
Precision Instrument and Equipment Repairers,73.7,11.9,12.6,11.4,51700
Flight Attendants,73.7,17.5,5.4,15.3,56230
"Production Workers, All Other",73.8,16.1,5.7,24.6,33830
Protective Service Occupations,73.9,20.3,2.2,15.3,49880
"Office Clerks, General",74,13.6,8.6,20.9,36360
Bakers,74,11.7,9.6,30.7,29630
Refuse and Recyclable Material Collectors,74,18.2,3.6,29.7,41400
Computer Support Specialists,74.2,10.5,12.7,11.3,59290
Miscellaneous Legal Support Workers,74.2,13.2,8,13.9,60690
"Human Resources Assistants, Except Payroll and Timekeeping",74.2,12.7,3.8,18.5,42620
Dentists,74.3,0.8,23.6,7.2,183060
Information Security Analysts,74.6,16.6,7.6,12.9,104210
Health Practitioner Support Technologists and Technicians,74.7,15.6,5.4,16.5,37800
"Computer, Automated Teller, and Office Machine Repairers",74.7,11.7,9.3,15.9,42070
Helpers--Production Workers,74.9,17.2,4,30.3,30540
Purchasing Managers,75.1,14.4,5.9,10,128400
Medical Assistants,75.1,15.3,4.8,29,35720
Data Entry Keyers,75.1,14.7,6.5,20.3,34820
Loan Interviewers and Clerks,75.2,16.3,4.3,13.3,41960
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",75.2,17.3,0.3,13.9,37310
Driver/Sales Workers and Truck Drivers,75.2,18.1,2.9,20.5,42170
Postsecondary Teachers,75.3,7,15.1,8.3,90830
Healthcare Practitioners and Technical Occupations,75.3,12.5,9.6,9,83640
File Clerks,75.3,16.8,4.1,14.2,34610
Waiters and Waitresses,75.5,11.1,7.6,23.4,26800
Chemical Engineers,75.6,4,17.1,2.4,117090
Human Resources Workers,75.7,13.8,7.1,13.8,68200
Chemists and Materials Scientists,75.7,7,13.7,8.2,85360
Occupational Therapists,75.7,10.2,12.4,10.2,86210
Structural Iron and Steel Workers,75.7,11.7,7.8,18.7,59170
Preschool and Kindergarten Teachers,75.8,15.7,5.2,14.9,40370
Receptionists and Information Clerks,75.8,15.4,4.6,21.8,31250
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",75.8,10.6,8.5,21.1,36650
Registered Nurses,75.9,12.4,9.2,7.2,77460
"Compensation, Benefits, and Job Analysis Specialists",76,19,3.7,6,69840
Childcare Workers,76,17.4,3.3,24.6,25510
Management Analysts,76.1,7.5,13.7,8.6,95560
Computer Network Architects,76.1,13.1,10.3,14.1,115110
Cleaners of Vehicles and Equipment,76.1,19.4,1.4,34.8,27940
Food Service Managers,76.3,9.8,9.6,19.8,59820
Physical Therapists,76.4,5.9,14.1,4,90170
Nurse Practitioners,76.6,12.2,9.9,2.6,111840
Office and Administrative Support Occupations,76.6,14.5,5,17.5,41040
Production Occupations,76.6,13.3,6,23.1,40140
First-Line Supervisors of Food Preparation and Serving Workers,76.7,14.9,4.8,22.6,36960
"Life, Physical, and Social Science Occupations",76.9,6.3,14.4,9.5,77540
Security and Fire Alarm Systems Installers,76.9,14.3,4.6,23.5,50210
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",77,12.2,3.6,31,31710
Logisticians,77.1,15.5,2.7,8.2,78680
Accountants and Auditors,77.1,8.5,12,8.9,79520
Paralegals and Legal Assistants,77.1,11.8,6.7,17.7,55020
Dining Room and Cafeteria Attendants and Bartender Helpers,77.1,12.6,6.2,34.2,25020
Network and Computer Systems Administrators,77.2,9.7,11.7,8.5,88410
Training and Development Specialists,77.3,15.4,4,10.6,65640
Building and Grounds Cleaning and Maintenance Occupations,77.3,14.9,2.9,38.2,31250
"Hairdressers, Hairstylists, and Cosmetologists",77.3,13.9,6.1,17,31530
Tax Preparers,77.5,16.6,5.6,15.2,49550
Architecture and Engineering Occupations,77.5,6.8,13.3,9.2,88800
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",77.6,8.6,4,17.7,24010
"Inspectors, Testers, Sorters, Samplers, and Weighers",77.6,11.5,5.4,17.5,43000
"Office and Administrative Support Workers, All Other",77.7,15.5,3.4,13.6,38290
Human Resources Managers,77.8,11.1,7.1,10.1,129570
Word Processors and Typists,77.8,12.6,3.3,16.1,41880
Dietitians and Nutritionists,77.9,15.2,5.9,9,62330
Aerospace Engineers,78,6.5,14.5,7.3,119220
"Library Assistants, Clerical",78.2,12,8.9,12.6,29820
Cutting Workers,78.3,18.8,2.5,25.2,36120
Business and Financial Operations Occupations,78.4,9.9,9,9.5,78130
Other Teachers and Instructors,78.4,11.7,6.1,11.6,40730
First-Line Supervisors of Housekeeping and Janitorial Workers,78.5,15,3.2,27.5,44160
Retail Salespersons,78.9,12.4,4.5,18.7,29360
Medical and Health Services Managers,79,12.7,5.7,11.8,115160
Clergy,79.1,12.2,5.9,7.7,55190
"Models, Demonstrators, and Product Promoters",79.5,11.3,3.1,16,35360
Miscellaneous Entertainment Attendants and Related Workers,79.6,10.8,5.4,15.5,25090
Sales and Related Occupations,79.8,11.2,5.4,16.7,43060
