year,men,women
1979,15184,9464
1980,16276,10452
1981,17680,11388
1982,18928,12428
1983,19708,13104
1984,20384,13780
1985,21164,14404
1986,21788,15132
1987,22568,15756
1988,23348,16380
1989,24336,17056
1990,25012,17992
1991,25636,19032
1992,26052,19760
1993,26520,20436
1994,27144,20748
1995,27976,21112
1996,28964,21736
1997,30108,22412
1998,31096,23712
1999,32136,24596
2000,33332,25636
2001,34840,26624
2002,35308,27508
2003,36140,28704
2004,37076,29796
2005,37544,30420
2006,38636,31200
2007,39832,31928
2008,41496,33176
2009,42588,34164
2010,42848,34788
2011,43264,35568
2012,44408,35932
2013,44720,36712
2014,45292,37388
2015,46540,37752
2016,47580,38948
2017,48932,40040
2018,50596,41028
2019,52364,42692
