occ_title,white,black,asian,hispanic,annual_salary
Miscellaneous Personal Appearance Workers,0.395109395,0.62601626,9.107692308,0.659090909,31660
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.460746461,3.43902439,2.738461538,0.329545455,51190
Postal Service Clerks,0.61003861,2.910569106,2,0.380681818,50610
Reservation and Transportation Ticket Agents and Travel Clerks,0.661518662,2.268292683,1.4,0.767045455,44390
Computer Hardware Engineers,0.698841699,0.463414634,5.907692308,0.579545455,123030
Laundry and Dry-Cleaning Workers,0.719433719,2.040650407,1.876923077,2.153409091,25420
"Baggage Porters, Bellhops, and Concierges",0.747747748,2.130081301,1.907692308,1.738636364,31330
"Tax Examiners and Collectors, and Revenue Agents",0.756756757,2.097560976,1.969230769,0.6875,60960
"Bailiffs, Correctional Officers, and Jailers",0.778635779,2.780487805,0.261538462,0.698863636,50210
"Hotel, Motel, and Resort Desk Clerks",0.781209781,1.756097561,1.138461538,1.267045455,25950
Barbers,0.795366795,2.528455285,0.692307692,1.647727273,35190
Chefs and Head Cooks,0.810810811,1.162601626,2.523076923,1.477272727,56310
Bill and Account Collectors,0.818532819,2.455284553,0.2,1.011363636,39300
Medical Scientists,0.824967825,0.593495935,4.276923077,0.5,97650
Healthcare Support Occupations,0.826254826,2.170731707,0.784615385,1.085227273,31010
Pharmacists,0.83011583,0.853658537,3.384615385,0.153409091,125510
"Electrical, Electronics, and Electromechanical Assemblers",0.83011583,0.650406504,3.107692308,1.142045455,37010
Budget Analysts,0.831402831,1.569105691,1.876923077,0.204545455,80300
Social and Human Service Assistants,0.839124839,2.073170732,0.661538462,0.931818182,37050
Computer and Mathematical Occupations,0.845559846,0.707317073,3.553846154,0.443181818,93760
Respiratory Therapists,0.851994852,1.886178862,1.369230769,0.488636364,63950
"Tailors, Dressmakers, and Sewers",0.853281853,0.772357724,3.646153846,1.1875,33950
Railroad Conductors and Yardmasters,0.858429858,1.951219512,0.476923077,0.306818182,68350
Order Clerks,0.861003861,1.479674797,1.523076923,1.039772727,36600
Licensed Practical and Licensed Vocational Nurses,0.862290862,2.195121951,0.507692308,0.784090909,48500
Miscellaneous Assemblers and Fabricators,0.862290862,1.601626016,1.476923077,1.232954545,34800
Statistical Assistants,0.867438867,0,4.969230769,0.278409091,51640
"Mail Clerks and Mail Machine Operators, Except Postal Service",0.87001287,1.951219512,0.630769231,0.806818182,32620
Computer Systems Analysts,0.872586873,0.788617886,3.123076923,0.471590909,96160
Computer Programmers,0.872586873,0.691056911,3.353846154,0.494318182,92610
Miscellaneous Media and Communication Workers,0.872586873,1.18699187,1.723076923,2.005681818,57170
"Physical Scientists, All Other",0.879021879,0.276422764,3.953846154,0.403409091,112070
"Food Servers, Nonrestaurant",0.88030888,1.56097561,1.015384615,1.227272727,26080
