occ_title,employed,race,annual_salary
Miscellaneous Personal Appearance Workers,0.395109395,white,31660
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.460746461,white,51190
Postal Service Clerks,0.61003861,white,50610
Reservation and Transportation Ticket Agents and Travel Clerks,0.661518662,white,44390
Computer Hardware Engineers,0.698841699,white,123030
Laundry and Dry-Cleaning Workers,0.719433719,white,25420
"Baggage Porters, Bellhops, and Concierges",0.747747748,white,31330
"Tax Examiners and Collectors, and Revenue Agents",0.756756757,white,60960
"Bailiffs, Correctional Officers, and Jailers",0.778635779,white,50210
"Hotel, Motel, and Resort Desk Clerks",0.781209781,white,25950
Barbers,0.795366795,white,35190
Chefs and Head Cooks,0.810810811,white,56310
Bill and Account Collectors,0.818532819,white,39300
Medical Scientists,0.824967825,white,97650
Healthcare Support Occupations,0.826254826,white,31010
Pharmacists,0.83011583,white,125510
"Electrical, Electronics, and Electromechanical Assemblers",0.83011583,white,37010
Budget Analysts,0.831402831,white,80300
Social and Human Service Assistants,0.839124839,white,37050
Computer and Mathematical Occupations,0.845559846,white,93760
Respiratory Therapists,0.851994852,white,63950
"Tailors, Dressmakers, and Sewers",0.853281853,white,33950
Railroad Conductors and Yardmasters,0.858429858,white,68350
Order Clerks,0.861003861,white,36600
Licensed Practical and Licensed Vocational Nurses,0.862290862,white,48500
Miscellaneous Assemblers and Fabricators,0.862290862,white,34800
Statistical Assistants,0.867438867,white,51640
"Mail Clerks and Mail Machine Operators, Except Postal Service",0.87001287,white,32620
Computer Systems Analysts,0.872586873,white,96160
Computer Programmers,0.872586873,white,92610
Miscellaneous Media and Communication Workers,0.872586873,white,57170
"Physical Scientists, All Other",0.879021879,white,112070
"Food Servers, Nonrestaurant",0.88030888,white,26080
Packaging and Filling Machine Operators and Tenders,0.885456885,white,33590
Automotive and Watercraft Service Attendants,0.886743887,white,26860
Industrial Truck and Tractor Operators,0.888030888,white,37930
Cashiers,0.890604891,white,24400
Cashiers,0.890604891,white,24400
"Packers and Packagers, Hand",0.890604891,white,27680
Sewing Machine Operators,0.891891892,white,28000
Personal Care and Service Occupations,0.893178893,white,31260
Statisticians,0.895752896,white,95680
Social Workers,0.895752896,white,54190
"Eligibility Interviewers, Government Programs",0.902187902,white,47110
Cooks,0.906048906,white,27550
"Computer Occupations, All Other",0.907335907,white,92410
Phlebotomists,0.907335907,white,36480
Probation Officers and Correctional Treatment Specialists,0.908622909,white,59910
Clinical Laboratory Technologists and Technicians,0.915057915,white,54780
"Graders and Sorters, Agricultural Products",0.916344916,white,27570
"Butchers and Other Meat, Poultry, and Fish Processing Workers",0.916344916,white,30920
Electrical and Electronics Engineers,0.917631918,white,106240
Insurance Claims and Policy Processing Clerks,0.917631918,white,43280
"Engineers, All Other",0.924066924,white,102460
"Metal Workers and Plastic Workers, All Other",0.926640927,white,37790
"Food Processing Workers, All Other",0.927927928,white,28820
Maids and Housekeeping Cleaners,0.929214929,white,26810
Transportation and Material Moving Occupations,0.929214929,white,37920
Supervisors of Transportation and Material Moving Workers,0.929214929,white,57850
Massage Therapists,0.930501931,white,47180
"Laborers and Freight, Stock, and Material Movers, Hand",0.931788932,white,32130
Private Detectives and Investigators,0.934362934,white,57000
Computer and Information Systems Managers,0.935649936,white,156390
Counselors,0.935649936,white,53120
Postal Service Mail Carriers,0.935649936,white,52180
"Miscellaneous Life, Physical, and Social Science Technicians",0.936936937,white,55610
Counter and Rental Clerks,0.936936937,white,32600
Community and Social Service Occupations,0.938223938,white,50480
"Interviewers, Except Eligibility and Loan",0.938223938,white,36390
Radio and Telecommunications Equipment Installers and Repairers,0.940797941,white,58510
Customer Service Representatives,0.943371943,white,37320
Couriers and Messengers,0.943371943,white,31640
Dishwashers,0.944658945,white,24410
Food Preparation Workers,0.945945946,white,25820
"Claims Adjusters, Appraisers, Examiners, and Investigators",0.947232947,white,68820
Food Preparation and Serving Related Occupations,0.948519949,white,26670
Precision Instrument and Equipment Repairers,0.948519949,white,51700
Flight Attendants,0.948519949,white,56230
"Production Workers, All Other",0.94980695,white,33830
Protective Service Occupations,0.951093951,white,49880
"Office Clerks, General",0.952380952,white,36360
Bakers,0.952380952,white,29630
Refuse and Recyclable Material Collectors,0.952380952,white,41400
Computer Support Specialists,0.954954955,white,59290
Miscellaneous Legal Support Workers,0.954954955,white,60690
"Human Resources Assistants, Except Payroll and Timekeeping",0.954954955,white,42620
Dentists,0.956241956,white,183060
Information Security Analysts,0.96010296,white,104210
Health Practitioner Support Technologists and Technicians,0.961389961,white,37800
"Computer, Automated Teller, and Office Machine Repairers",0.961389961,white,42070
Helpers--Production Workers,0.963963964,white,30540
Purchasing Managers,0.966537967,white,128400
Medical Assistants,0.966537967,white,35720
Data Entry Keyers,0.966537967,white,34820
Loan Interviewers and Clerks,0.967824968,white,41960
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.967824968,white,37310
Driver/Sales Workers and Truck Drivers,0.967824968,white,42170
Postsecondary Teachers,0.969111969,white,90830
Healthcare Practitioners and Technical Occupations,0.969111969,white,83640
File Clerks,0.969111969,white,34610
Waiters and Waitresses,0.971685972,white,26800
Chemical Engineers,0.972972973,white,117090
Human Resources Workers,0.974259974,white,68200
