age,total,all_men,all_women,all_white,white_men,white_women,all_black,black_men,black_women,all_asian,asian_men,asian_women
16_years_and_over,3.7,3.7,3.6,3.3,3.3,3.2,6.1,6.6,5.6,2.7,2.7,2.7
16_to_19_years,12.7,13.8,11.5,11.5,12.8,10.1,20.7,22.0,19.6,8.2,8.6,7.8
16_to_17_years,14.0,14.5,13.6,13.1,14.2,12.0,23.1,20.2,25.2,8.8,7.1,10.6
18_to_19_years,11.9,13.5,10.4,10.6,12.1,9.0,19.6,22.8,16.8,7.8,9.6,6.1
20_to_24_years,6.7,7.7,5.7,5.8,6.5,4.9,11.5,13.8,9.3,5.8,5.8,5.8
25_to_54_years,3.1,3.0,3.1,2.7,2.7,2.8,5.0,5.4,4.7,2.3,2.4,2.3
25_to_34_years,3.7,3.7,3.7,3.2,3.2,3.2,6.2,6.4,6.0,2.8,2.9,2.7
25_to_29_years,4.1,4.3,3.9,3.5,3.7,3.3,7.2,7.7,6.8,3.1,3.5,2.5
30_to_34_years,3.3,3.1,3.6,3.0,2.8,3.2,5.0,5.0,5.1,2.5,2.3,2.8
35_to_44_years,2.7,2.6,2.9,2.5,2.3,2.6,4.5,4.9,4.2,2.1,2.0,2.3
35_to_39_years,2.8,2.6,2.9,2.4,2.3,2.6,4.6,5.1,4.2,2.3,1.9,2.8
40_to_44_years,2.7,2.6,2.9,2.5,2.3,2.7,4.4,4.8,4.2,2.0,2.1,1.8
45_to_54_years,2.7,2.7,2.7,2.5,2.5,2.5,4.1,4.5,3.7,2.1,2.2,1.9
45_to_49_years,2.7,2.8,2.6,2.5,2.5,2.4,4.0,4.8,3.3,2.0,2.2,1.7
50_to_54_years,2.7,2.7,2.8,2.6,2.5,2.6,4.2,4.2,4.1,2.2,2.2,2.2
55_to_64_years,2.6,2.5,2.7,2.4,2.4,2.5,3.6,3.4,3.9,2.1,2.3,2.0
55_to_59_years,2.6,2.5,2.7,2.4,2.3,2.6,3.9,4.0,3.7,2.1,2.2,1.9
60_to_64_years,2.5,2.5,2.6,2.5,2.5,2.4,3.3,2.4,4.1,2.2,2.5,2.0
65_years_and_over,3.0,2.9,3.1,2.8,2.7,3.0,4.6,5.0,4.3,2.5,2.6,2.3
65_to_69_years,2.8,2.9,2.7,2.6,2.7,2.5,4.5,4.3,4.6,3.3,3.5,3.1
70_to_74_years,3.1,3.0,3.3,2.9,2.7,3.3,6.5,8.5,5.0,0.9,1.0,0.8
75_years_and_over,3.1,2.6,3.8,3.3,2.7,4.0,2.2,2.3,2.2,1.8,2.1,1.3
