age,total,all_men,all_women,all_white,white_men,white_women,all_black,black_men,black_women,all_asian,asian_men,asian_women
16_to_19_years,12.7,13.8,11.5,11.5,12.8,10.1,20.7,22,19.6,8.2,8.6,7.8
20_to_24_years,6.7,7.7,5.7,5.8,6.5,4.9,11.5,13.8,9.3,5.8,5.8,5.8
25_to_29_years,4.1,4.3,3.9,3.5,3.7,3.3,7.2,7.7,6.8,3.1,3.5,2.5
30_to_34_years,3.3,3.1,3.6,3,2.8,3.2,5,5,5.1,2.5,2.3,2.8
35_to_39_years,2.8,2.6,2.9,2.4,2.3,2.6,4.6,5.1,4.2,2.3,1.9,2.8
40_to_44_years,2.7,2.6,2.9,2.5,2.3,2.7,4.4,4.8,4.2,2,2.1,1.8
45_to_49_years,2.7,2.8,2.6,2.5,2.5,2.4,4,4.8,3.3,2,2.2,1.7
50_to_54_years,2.7,2.7,2.8,2.6,2.5,2.6,4.2,4.2,4.1,2.2,2.2,2.2
55_to_59_years,2.6,2.5,2.7,2.4,2.3,2.6,3.9,4,3.7,2.1,2.2,1.9
60_to_64_years,2.5,2.5,2.6,2.5,2.5,2.4,3.3,2.4,4.1,2.2,2.5,2
65_years_and_over,3,2.9,3.1,2.8,2.7,3,4.6,5,4.3,2.5,2.6,2.3
