age,unemployment_rate,gender,race
16_to_19,12.7,average,average
20_to_24,6.7,average,average
25_to_29,4.1,average,average
30_to_34,3.3,average,average
35_to_39,2.8,average,average
40_to_44,2.7,average,average
45_to_49,2.7,average,average
50_to_54,2.7,average,average
55_to_59,2.6,average,average
60_to_64,2.5,average,average
65+,3,average,average
16_to_19,13.8,male,average
20_to_24,7.7,male,average
25_to_29,4.3,male,average
30_to_34,3.1,male,average
35_to_39,2.6,male,average
40_to_44,2.6,male,average
45_to_49,2.8,male,average
50_to_54,2.7,male,average
55_to_59,2.5,male,average
60_to_64,2.5,male,average
65+,2.9,male,average
16_to_19,11.5,female,average
20_to_24,5.7,female,average
25_to_29,3.9,female,average
30_to_34,3.6,female,average
35_to_39,2.9,female,average
40_to_44,2.9,female,average
45_to_49,2.6,female,average
50_to_54,2.8,female,average
55_to_59,2.7,female,average
60_to_64,2.6,female,average
65+,3.1,female,average
16_to_19,11.5,average,white
20_to_24,5.8,average,white
25_to_29,3.5,average,white
30_to_34,3,average,white
35_to_39,2.4,average,white
40_to_44,2.5,average,white
45_to_49,2.5,average,white
50_to_54,2.6,average,white
55_to_59,2.4,average,white
60_to_64,2.5,average,white
65+,2.8,average,white
16_to_19,12.8,male,white
20_to_24,6.5,male,white
25_to_29,3.7,male,white
30_to_34,2.8,male,white
35_to_39,2.3,male,white
40_to_44,2.3,male,white
45_to_49,2.5,male,white
50_to_54,2.5,male,white
55_to_59,2.3,male,white
60_to_64,2.5,male,white
65+,2.7,male,white
16_to_19,10.1,female,white
20_to_24,4.9,female,white
25_to_29,3.3,female,white
30_to_34,3.2,female,white
35_to_39,2.6,female,white
40_to_44,2.7,female,white
45_to_49,2.4,female,white
50_to_54,2.6,female,white
55_to_59,2.6,female,white
60_to_64,2.4,female,white
65+,3,female,white
16_to_19,20.7,average,black
20_to_24,11.5,average,black
25_to_29,7.2,average,black
30_to_34,5,average,black
35_to_39,4.6,average,black
40_to_44,4.4,average,black
45_to_49,4,average,black
50_to_54,4.2,average,black
55_to_59,3.9,average,black
60_to_64,3.3,average,black
65+,4.6,average,black
16_to_19,22,male,black
20_to_24,13.8,male,black
25_to_29,7.7,male,black
30_to_34,5,male,black
35_to_39,5.1,male,black
40_to_44,4.8,male,black
45_to_49,4.8,male,black
50_to_54,4.2,male,black
55_to_59,4,male,black
60_to_64,2.4,male,black
65+,5,male,black
16_to_19,19.6,female,black
20_to_24,9.3,female,black
25_to_29,6.8,female,black
30_to_34,5.1,female,black
35_to_39,4.2,female,black
40_to_44,4.2,female,black
45_to_49,3.3,female,black
50_to_54,4.1,female,black
55_to_59,3.7,female,black
60_to_64,4.1,female,black
65+,4.3,female,black
16_to_19,8.2,average,asian
20_to_24,5.8,average,asian
25_to_29,3.1,average,asian
30_to_34,2.5,average,asian
35_to_39,2.3,average,asian
40_to_44,2,average,asian
45_to_49,2,average,asian
50_to_54,2.2,average,asian
55_to_59,2.1,average,asian
60_to_64,2.2,average,asian
65+,2.5,average,asian
16_to_19,8.6,male,asian
20_to_24,5.8,male,asian
25_to_29,3.5,male,asian
30_to_34,2.3,male,asian
35_to_39,1.9,male,asian
40_to_44,2.1,male,asian
45_to_49,2.2,male,asian
50_to_54,2.2,male,asian
55_to_59,2.2,male,asian
60_to_64,2.5,male,asian
65+,2.6,male,asian
16_to_19,7.8,female,asian
20_to_24,5.8,female,asian
25_to_29,2.5,female,asian
30_to_34,2.8,female,asian
35_to_39,2.8,female,asian
40_to_44,1.8,female,asian
45_to_49,1.7,female,asian
50_to_54,2.2,female,asian
55_to_59,1.9,female,asian
60_to_64,2,female,asian
65+,2.3,female,asian
