date,unemployment_rate,race
1/1/2010,8.8,white
2/1/2010,8.9,white
3/1/2010,8.9,white
4/1/2010,9,white
5/1/2010,8.7,white
6/1/2010,8.6,white
7/1/2010,8.5,white
8/1/2010,8.6,white
9/1/2010,8.6,white
10/1/2010,8.6,white
11/1/2010,8.9,white
12/1/2010,8.5,white
1/1/2011,8.1,white
2/1/2011,8.1,white
3/1/2011,8,white
4/1/2011,8.1,white
5/1/2011,7.9,white
6/1/2011,8.1,white
7/1/2011,8,white
8/1/2011,7.9,white
9/1/2011,7.9,white
10/1/2011,7.9,white
11/1/2011,7.7,white
12/1/2011,7.5,white
1/1/2012,7.4,white
2/1/2012,7.4,white
3/1/2012,7.3,white
4/1/2012,7.4,white
5/1/2012,7.4,white
6/1/2012,7.3,white
7/1/2012,7.3,white
8/1/2012,7.2,white
9/1/2012,7,white
10/1/2012,6.9,white
11/1/2012,6.8,white
12/1/2012,6.9,white
1/1/2013,7.1,white
2/1/2013,6.8,white
3/1/2013,6.7,white
4/1/2013,6.7,white
5/1/2013,6.7,white
6/1/2013,6.6,white
7/1/2013,6.5,white
8/1/2013,6.4,white
9/1/2013,6.3,white
10/1/2013,6.3,white
11/1/2013,6.1,white
12/1/2013,5.9,white
1/1/2014,5.7,white
2/1/2014,5.8,white
3/1/2014,5.8,white
4/1/2014,5.3,white
5/1/2014,5.4,white
6/1/2014,5.3,white
7/1/2014,5.3,white
8/1/2014,5.3,white
9/1/2014,5.1,white
10/1/2014,4.9,white
11/1/2014,5,white
12/1/2014,4.7,white
1/1/2015,4.9,white
2/1/2015,4.7,white
3/1/2015,4.8,white
4/1/2015,4.7,white
5/1/2015,4.8,white
6/1/2015,4.6,white
7/1/2015,4.5,white
8/1/2015,4.4,white
9/1/2015,4.4,white
10/1/2015,4.4,white
11/1/2015,4.4,white
12/1/2015,4.4,white
1/1/2016,4.2,white
2/1/2016,4.3,white
3/1/2016,4.3,white
4/1/2016,4.4,white
5/1/2016,4.2,white
6/1/2016,4.3,white
7/1/2016,4.2,white
8/1/2016,4.3,white
9/1/2016,4.4,white
10/1/2016,4.4,white
11/1/2016,4.2,white
12/1/2016,4.2,white
1/1/2017,4.2,white
2/1/2017,4,white
3/1/2017,3.9,white
4/1/2017,3.9,white
5/1/2017,3.8,white
6/1/2017,3.8,white
7/1/2017,3.7,white
8/1/2017,3.8,white
9/1/2017,3.7,white
10/1/2017,3.5,white
11/1/2017,3.7,white
12/1/2017,3.7,white
1/1/2018,3.5,white
2/1/2018,3.7,white
3/1/2018,3.6,white
4/1/2018,3.6,white
5/1/2018,3.5,white
6/1/2018,3.5,white
7/1/2018,3.3,white
8/1/2018,3.4,white
9/1/2018,3.3,white
10/1/2018,3.3,white
11/1/2018,3.4,white
12/1/2018,3.4,white
1/1/2019,3.5,white
2/1/2019,3.3,white
3/1/2019,3.4,white
4/1/2019,3.1,white
5/1/2019,3.3,white
6/1/2019,3.3,white
7/1/2019,3.3,white
8/1/2019,3.4,white
9/1/2019,3.2,white
10/1/2019,3.2,white
11/1/2019,3.2,white
12/1/2019,3.2,white
1/1/2020,3.1,white
2/1/2020,3.1,white
3/1/2020,4,white
4/1/2020,14.2,white
5/1/2020,12.4,white
1/1/2010,16.5,black
2/1/2010,16.1,black
3/1/2010,16.8,black
4/1/2010,16.6,black
5/1/2010,15.5,black
6/1/2010,15.2,black
7/1/2010,15.6,black
8/1/2010,15.9,black
9/1/2010,16,black
10/1/2010,15.6,black
11/1/2010,16.2,black
12/1/2010,15.5,black
1/1/2011,16.5,black
2/1/2011,16.1,black
3/1/2011,16.8,black
4/1/2011,16.6,black
5/1/2011,15.5,black
6/1/2011,15.2,black
7/1/2011,15.6,black
8/1/2011,15.9,black
9/1/2011,16,black
10/1/2011,15.6,black
11/1/2011,16.2,black
12/1/2011,15.5,black
1/1/2012,13.6,black
2/1/2012,14,black
3/1/2012,14,black
4/1/2012,13.3,black
5/1/2012,13.5,black
6/1/2012,14.5,black
7/1/2012,14.2,black
8/1/2012,13.8,black
9/1/2012,13.6,black
10/1/2012,14.1,black
11/1/2012,13.3,black
12/1/2012,14,black
1/1/2013,13.7,black
2/1/2013,13.8,black
3/1/2013,13,black
4/1/2013,13.3,black
5/1/2013,13.4,black
6/1/2013,14.2,black
7/1/2013,12.6,black
8/1/2013,12.8,black
9/1/2013,13,black
10/1/2013,12.8,black
11/1/2013,12.3,black
12/1/2013,11.9,black
1/1/2014,12.1,black
2/1/2014,11.8,black
3/1/2014,12.1,black
4/1/2014,11.6,black
5/1/2014,11.4,black
6/1/2014,11,black
7/1/2014,11.6,black
8/1/2014,11.4,black
9/1/2014,11,black
10/1/2014,10.6,black
11/1/2014,10.9,black
12/1/2014,10.6,black
1/1/2015,10.3,black
2/1/2015,10.1,black
3/1/2015,9.9,black
4/1/2015,9.7,black
5/1/2015,10.3,black
6/1/2015,9.7,black
7/1/2015,9.1,black
8/1/2015,9.4,black
9/1/2015,9.3,black
10/1/2015,9,black
11/1/2015,9.4,black
12/1/2015,8.5,black
1/1/2016,8.7,black
2/1/2016,8.5,black
3/1/2016,8.9,black
4/1/2016,8.8,black
5/1/2016,8.2,black
6/1/2016,8.8,black
7/1/2016,8.4,black
8/1/2016,8,black
9/1/2016,8.5,black
10/1/2016,8.4,black
11/1/2016,8.1,black
12/1/2016,7.9,black
1/1/2017,7.5,black
2/1/2017,7.9,black
3/1/2017,7.9,black
4/1/2017,7.9,black
5/1/2017,7.7,black
6/1/2017,7.1,black
7/1/2017,7.4,black
8/1/2017,7.7,black
9/1/2017,7.2,black
10/1/2017,7.4,black
11/1/2017,7.4,black
12/1/2017,6.7,black
1/1/2018,7.5,black
2/1/2018,6.7,black
3/1/2018,6.8,black
4/1/2018,6.4,black
5/1/2018,5.9,black
6/1/2018,6.5,black
7/1/2018,6.6,black
8/1/2018,6.3,black
9/1/2018,6.2,black
10/1/2018,6.3,black
11/1/2018,6.1,black
12/1/2018,6.6,black
1/1/2019,6.8,black
2/1/2019,6.9,black
3/1/2019,6.6,black
4/1/2019,6.6,black
5/1/2019,6.2,black
6/1/2019,6,black
7/1/2019,5.9,black
8/1/2019,5.4,black
9/1/2019,5.5,black
10/1/2019,5.5,black
11/1/2019,5.6,black
12/1/2019,5.9,black
1/1/2020,6,black
2/1/2020,5.8,black
