year,unemployment_rate,race
2010,7.50,Asian
2011,7.02,Asian
2012,5.90,Asian
2013,5.23,Asian
2014,4.98,Asian
2015,3.83,Asian
2016,3.64,Asian
2017,3.40,Asian
2018,3.00,Asian
2019,2.68,Asian
2010,15.96,Black
2011,15.96,Black
2012,13.83,Black
2013,13.07,Black
2014,11.34,Black
2015,9.56,Black
2016,8.43,Black
2017,7.48,Black
2018,6.49,Black
2019,6.08,Black
2010,8.72,White
2011,7.93,White
2012,7.19,White
2013,6.51,White
2014,5.30,White
2015,4.58,White
2016,4.28,White
2017,3.81,White
2018,3.46,White
2019,3.28,White
